category,correct_response,game,value,clue
BEST-SELLERS,Ireland,"Trebek pilot #1 - Sunday, September 18, 1983",25,"This country's counties include Kerry, Kilkenny, and Kildare"
SPORTS,,"Trebek pilot #1 - Sunday, September 18, 1983",25,This Jacqueline Susann novel is the all-time fictional best seller
LISTS,Jimmy Connors,"Trebek pilot #1 - Sunday, September 18, 1983",25,He's won 5 of the 10 last U.S. Open tennis titles
WILD WEST,the Ten Commandments,"Trebek pilot #1 - Sunday, September 18, 1983",25,Moses received this list on Mt. Sinai
HERBS AND SPICES,Billy the Kid,"Trebek pilot #1 - Sunday, September 18, 1983",25,This was William Bonney's best-known alias
ANATOMY,garlic,"Trebek pilot #1 - Sunday, September 18, 1983",25,Reportedly good for lowering blood pressure and repelling vampires
BEST-SELLERS,Australia,"Trebek pilot #1 - Sunday, September 18, 1983",50,Only nation to cover an entire continent
SPORTS,Stephen King,"Trebek pilot #1 - Sunday, September 18, 1983",50,Hot horror author whose latest book is about haunted '58 Plymouth
LISTS,an eagle,"Trebek pilot #1 - Sunday, September 18, 1983",50,"In golf, it's 2 under par for a hole"
WILD WEST,Mr. Blackwell,"Trebek pilot #1 - Sunday, September 18, 1983",50,He lists the ten worst-dressed
HERBS AND SPICES,Tombstone,"Trebek pilot #1 - Sunday, September 18, 1983",50,This town was the site of the gunfight at the O.K. Corral
ANATOMY,cloves,"Trebek pilot #1 - Sunday, September 18, 1983",50,These dried flower buds are a must with baked ham
BEST-SELLERS,Nihon (or Nippon),"Trebek pilot #1 - Sunday, September 18, 1983",75,"The Japanese name for Japan, meaning ""source of the sun"""
SPORTS,,"Trebek pilot #1 - Sunday, September 18, 1983",75,Recent expose of movie studio executive's way with a check
LISTS,the Four Horsemen,"Trebek pilot #1 - Sunday, September 18, 1983",75,Famous Notre Dame football backfield with apocalyptic nickname
WILD WEST,50 ways to leave your lover,"Trebek pilot #1 - Sunday, September 18, 1983",,What 
HERBS AND SPICES,the Pony Express,"Trebek pilot #1 - Sunday, September 18, 1983",75,Buffalo Bill and Wild Bill Hickok both worked for this mail service
ANATOMY,cinnamon,"Trebek pilot #1 - Sunday, September 18, 1983",75,Spice made from the dried bark of a Ceylonese tree
BEST-SELLERS,Albania,"Trebek pilot #1 - Sunday, September 18, 1983",100,The only country in Europe barred to American tourists
LISTS,Lew Alcindor,"Trebek pilot #1 - Sunday, September 18, 1983",100,"In college, Kareem Abdul-Jabbar played under this name"
WILD WEST,the Wallaces (or the Wallechinskys),"Trebek pilot #1 - Sunday, September 18, 1983",100,"For them, ""The Book of Lists"" is a family affair"
HERBS AND SPICES,(Battle of) the Little Bighorn,"Trebek pilot #1 - Sunday, September 18, 1983",100,"This is the real name of""Custer's Last Stand"""
ANATOMY,sage,"Trebek pilot #1 - Sunday, September 18, 1983",100,This herb's name comes from belief that it will lengthen life and increase wisdom
LISTS,Vince Lombardi,"Trebek pilot #1 - Sunday, September 18, 1983",125,Superbowl trophy is named for this coach
HERBS AND SPICES,Bat Masterson,"Trebek pilot #1 - Sunday, September 18, 1983",125,This gunfighter wound up a New York City sports reporter
BEST-SELLERS,the lungs,"Trebek pilot #1 - Sunday, September 18, 1983",50,"If the body were a car, they would be the carburetors"
SPORTS,Manhattan & Staten Island,"Trebek pilot #1 - Sunday, September 18, 1983",50,The two island Boroughs of New York City
LISTS,the vice president of the U.S.,"Trebek pilot #1 - Sunday, September 18, 1983",50,"The Constitution makes him ""president of the Senate"""
WILD WEST,,"Trebek pilot #1 - Sunday, September 18, 1983",50,"French phrase for food items, ordered individually"
HERBS AND SPICES,Uncle Sam,"Trebek pilot #1 - Sunday, September 18, 1983",50,Popularized by famous WW-1 recruiting poster
ANATOMY,Timothy Leary,"Trebek pilot #1 - Sunday, September 18, 1983",50,"Self-appointed ""High Priest"" of LSD"
BEST-SELLERS,muscles,"Trebek pilot #1 - Sunday, September 18, 1983",100,Building these up with steroids has caused sports controversy
LISTS,Honorable,"Trebek pilot #1 - Sunday, September 18, 1983",100,"In a letter, the correct form of address for a senator"
WILD WEST,the elevator,"Trebek pilot #1 - Sunday, September 18, 1983",100,"The British call this ""the lift"""
HERBS AND SPICES,Sam Spade,"Trebek pilot #1 - Sunday, September 18, 1983",100,"Created by Dashiell Hammett, played by Humphrey Bogart"
ANATOMY,1969,"Trebek pilot #1 - Sunday, September 18, 1983",100,"The year Armstrong took ""one small step..."""
BEST-SELLERS,bones,"Trebek pilot #1 - Sunday, September 18, 1983",,"Babies have more than 300, while adults have only 206"
LISTS,Bill Bradley,"Trebek pilot #1 - Sunday, September 18, 1983",150,Former Rhodes scholar and basketball star now senator from New Jersey
WILD WEST,Christmas (December 25),"Trebek pilot #1 - Sunday, September 18, 1983",150,"Day of the year when Italians wish ""Buon Natale"""
HERBS AND SPICES,Sam Houston,"Trebek pilot #1 - Sunday, September 18, 1983",150,Texas hero who won Battle of San Jacinto
ANATOMY,Ralph Nader,"Trebek pilot #1 - Sunday, September 18, 1983",150,"In late 1965 his book ""Unsafe at Any Speed"" was published"
BEST-SELLERS,a skull and crossbones,"Trebek pilot #1 - Sunday, September 18, 1983",200,A cranium and 2 femurs on a black flag
LISTS,Aaron Burr,"Trebek pilot #1 - Sunday, September 18, 1983",200,Presided over Senate while under indictment for murdering Alexander Hamilton
WILD WEST,,"Trebek pilot #1 - Sunday, September 18, 1983",200,"Meaning ""a bride's belongings"", it's French for ""small bundle"""
HERBS AND SPICES,Sammy Davis Jr.,"Trebek pilot #1 - Sunday, September 18, 1983",200,Most famous alumnus of Will Mastin Trio
ANATOMY,the Chicago Seven,"Trebek pilot #1 - Sunday, September 18, 1983",,The group tried for conspiring to riot at '68 Democratic Convention
BEST-SELLERS,the liver,"Trebek pilot #1 - Sunday, September 18, 1983",250,This is the body's largest gland
SPORTS,St. Helena,"Trebek pilot #1 - Sunday, September 18, 1983",250,Where Napoleon died in exile
LISTS,a bloc,"Trebek pilot #1 - Sunday, September 18, 1983",250,Group of senators who vote together for a specific purpose
WILD WEST,,"Trebek pilot #1 - Sunday, September 18, 1983",250,"Criminologist's phrase, from Latin for ""manner of working"""
HERBS AND SPICES,Sam Goldwyn,"Trebek pilot #1 - Sunday, September 18, 1983",250,"Film producer famous for malapropism, ""Include me out"""
ANATOMY,Martin Luther King (Jr.),"Trebek pilot #1 - Sunday, September 18, 1983",250,American who won the 1964 Nobel Peace Prize
FOOD,Orangutan,"Show #276 - Monday, September 30, 1985",100,"Ape found on Sumatra, Borneo, & in ""Every Which Way But Loose"""
"""ROCK"" & ""ROLL"" SONGS",lady fingers,"Show #276 - Monday, September 30, 1985",100,Sponge cake baked in the form of a female digit
SPORTS STADIUMS,Roll out the barrel,"Show #276 - Monday, September 30, 1985",100,"The 1st line of the chorus of the ""Beer Barrel Polka"""
WORLD CAPITALS,AstroTurf,"Show #276 - Monday, September 30, 1985",100,Artificial grass named for the site of its 1st installation
PLANT NAMES,East Berlin,"Show #276 - Monday, September 30, 1985",100,"Half a city, it's capital of East Germany"
AMERICAN LITERATURE,crocus,"Show #276 - Monday, September 30, 1985",100,"From Greek ""krokos"", meaning saffron which this flower produces"
FOOD,arboreal,"Show #276 - Monday, September 30, 1985",200,"Old world monkeys are both arboreal & ground-dwelling, but all new world monkeys are this type"
"""ROCK"" & ""ROLL"" SONGS",Dagwood sandwich,"Show #276 - Monday, September 30, 1985",200,Towering snack named for comic strip character whose nocturnal noshes cleaned out the fridge
SPORTS STADIUMS,"""Solid""","Show #276 - Monday, September 30, 1985",200,How love was for Ashford & Simpson in 1985
WORLD CAPITALS,Yankee Stadium,"Show #276 - Monday, September 30, 1985",200,N.Y. stadium that now seats 13000 fewer people than it did 15 years ago
PLANT NAMES,Quito,"Show #276 - Monday, September 30, 1985",200,"The only national capital to begin with a ""Q"" is this, Ecuador's"
AMERICAN LITERATURE,tulip,"Show #276 - Monday, September 30, 1985",200,"From Turkish for ""turban"", these flowers were 1st grown in Turkey, not Holland"
FOOD,man,"Show #276 - Monday, September 30, 1985",300,"Primate Desmond Morris called ""the naked ape"""
"""ROCK"" & ""ROLL"" SONGS",quiche,"Show #276 - Monday, September 30, 1985",300,"From German for ""little cake"", the Lorraine style includes cheese & bacon bits"
SPORTS STADIUMS,"""Roll Over Beethoven""","Show #276 - Monday, September 30, 1985",300,"Chuck Berry's way of saying ""Step aside, Ludwig"""
WORLD CAPITALS,Pittsburgh,"Show #276 - Monday, September 30, 1985",300,Three Rivers Stadium is located where 3 rivers meet in this city
PLANT NAMES,Brussels,"Show #276 - Monday, September 30, 1985",300,"While Paris is on the Seine, this Belgian capital is on the Senne"
AMERICAN LITERATURE,nasturtium,"Show #276 - Monday, September 30, 1985",300,"From Latin ""nasus tortium"" meaning twisted nose, due to this plant's pungent qualities"
FOOD,eyes,"Show #276 - Monday, September 30, 1985",400,At 3 times proportional size of any other primate the tarsier has a colossal pair of these
"""ROCK"" & ""ROLL"" SONGS",paella,"Show #276 - Monday, September 30, 1985",400,"From French for ""small pan"" it's a traditional Spanish dish made of seafood & saffron flavored rice"
SPORTS STADIUMS,"""Rock Around The Clock""","Show #276 - Monday, September 30, 1985",400,"To do this in '55, you had to ""put your glad rags on"""
WORLD CAPITALS,R.F.K. Stadium,"Show #276 - Monday, September 30, 1985",400,"Sellouts have been the rule for years at this, the Washington Redskins' home stadium"
PLANT NAMES,Kabul,"Show #276 - Monday, September 30, 1985",400,In 1979 Soviet troops began occupying this Afghan capital
FOOD,the big baboon,"Show #276 - Monday, September 30, 1985",,"Primate ""preacher"" who marries "
"""ROCK"" & ""ROLL"" SONGS",rice table,"Show #276 - Monday, September 30, 1985",500,"The Indonesian smorgasbord, ""Rijsttafel"", means this"
SPORTS STADIUMS,"""I Am A Rock"" (or ""Loves Me Like A Rock"")","Show #276 - Monday, September 30, 1985",500,1 of 2 Paul Simon hits that fit this category
WORLD CAPITALS,New Orleans,"Show #276 - Monday, September 30, 1985",500,World's largest indoor stadium is the domed one in this city
PLANT NAMES,Salisbury,"Show #276 - Monday, September 30, 1985",500,"Harare, capital of Zimbabwe, was called this when the country was Rhodesia"
FOOD,tan,"Show #276 - Monday, September 30, 1985",200,"Cheek color of Whittier's ""Barefoot Boy"""
"""ROCK"" & ""ROLL"" SONGS",Dracula,"Show #276 - Monday, September 30, 1985",200,Bela Lugosi was reportedly buried in the cape he wore for this role
SPORTS STADIUMS,oil,"Show #276 - Monday, September 30, 1985",200,"In 1806, brine well drillers in Virginia were mad when this came up with the salt water"
WORLD CAPITALS,chewing tobacco,"Show #276 - Monday, September 30, 1985",200,"Block Bros. of Wheeling made ""Mail Pouch"" a popular brand of this"
PLANT NAMES,Victoria Principal,"Show #276 - Monday, September 30, 1985",200,"Actress whose exercise plan is called ""The Body Principal"""
AMERICAN LITERATURE,A.D.,"Show #276 - Monday, September 30, 1985",200,"The French call it ""A.C."", the Italians ""D.C."", a 12-hour NBC miniseries called it this"
FOOD,(Arthur) Miller,"Show #276 - Monday, September 30, 1985",400,"""The Crucible"", his 1953 play about Salem witchcraft trials drew a parallel to McCarthyism"
"""ROCK"" & ""ROLL"" SONGS",,"Show #276 - Monday, September 30, 1985",400,"In it, Rick tells Ilsa, ""I remember every detail; the Germans wore gray; you wore blue"""
SPORTS STADIUMS,coal,"Show #276 - Monday, September 30, 1985",400,"Produced from peat under pressure, Loretta Lynn's dad knows all about it"
WORLD CAPITALS,Chuck Yeager,"Show #276 - Monday, September 30, 1985",400,"Now a retired brig. gen., this West Virginian was 1st to fly faster than speed of sound"
PLANT NAMES,Abbie Hoffman,"Show #276 - Monday, September 30, 1985",400,"""Yippie"" leader who wrote a book called ""Steal This Book"""
AMERICAN LITERATURE,the Nile,"Show #276 - Monday, September 30, 1985",400,Nero sent an expedition out about 60 A.D. to find the source of this great river
FOOD,Nabokov,"Show #276 - Monday, September 30, 1985",600,"His lovesick narrator begins, ""Lolita, light of my life, fire of my loins"""
"""ROCK"" & ""ROLL"" SONGS",his French accent,"Show #276 - Monday, September 30, 1985",600,Maurice Chevalier's contract with Paramount would have been invalid if he'd lost this
SPORTS STADIUMS,a rubber band,"Show #276 - Monday, September 30, 1985",600,"From 1965-80, Testor Corp. made over 2,435,000 gliders powered by this office supply"
WORLD CAPITALS,Virginia,"Show #276 - Monday, September 30, 1985",,Not until 1939 did West Virginia pay off its 68-year-old financial debt to this state
PLANT NAMES,Fess Parker,"Show #276 - Monday, September 30, 1985",600,"Now a real estate developer, this actor opened up territory as ""Daniel Boone"""
AMERICAN LITERATURE,Androcles,"Show #276 - Monday, September 30, 1985",600,"Roman slave famous for broaching a ""thorny"" subject with a lion"
WORLD CAPITALS,Jack Dempsey,"Show #276 - Monday, September 30, 1985",800,"Though born in Manassa, Colorado, this fighter grew up in Logan, W.V."
AMERICAN LITERATURE,Athens and Sparta,"Show #276 - Monday, September 30, 1985",,"Along with Argos & Thebes, they made up the 4 earliest city-states of ancient Greece"
FOOD,Billy Budd,"Show #276 - Monday, September 30, 1985",1000,Melville title sailor who personifies innocence
"""ROCK"" & ""ROLL"" SONGS",John Wayne,"Show #276 - Monday, September 30, 1985",1000,"Since his 1st lead in 1930s ""The Big Trail"", he starred in more films than any other actor"
SPORTS STADIUMS,solar energy,"Show #276 - Monday, September 30, 1985",1000,Mirrors & photovoltaic cells are among the devices used to collect this
PLANT NAMES,Auckland,"Show #276 - Monday, September 30, 1985",1000,"In March, 1985, Michael Lewis, intending to fly to Oakland, Cal. inadvertently ended up in this city"
AMERICAN LITERATURE,fasces,"Show #276 - Monday, September 30, 1985",1000,"Mussolini's party name came from this bundle of rods bound to an ax, a symbol of ancient Rome"
INVENTIONS,the Jordan,"Show #1 - Monday, September 10, 1984",100,River mentioned most often in the Bible
ANIMALS,the radio,"Show #1 - Monday, September 10, 1984",100,Marconi's wonderful wireless
FOREIGN CUISINE,rats,"Show #1 - Monday, September 10, 1984",100,These rodents first got to America by stowing away on ships
ACTORS & ROLES,chicken,"Show #1 - Monday, September 10, 1984",100,"The ""coq"" in coq au vin"
NUMBER PLEASE,"""Thriller""","Show #1 - Monday, September 10, 1984",100,Video in which Michael Jackson plays a werewolf & a zombie
INVENTIONS,,"Show #1 - Monday, September 10, 1984",200,Scottish word for lake
ANIMALS,the rickshaw,"Show #1 - Monday, September 10, 1984",200,"In 1869 an American minister created this ""oriental"" transportation"
FOREIGN CUISINE,the trunk,"Show #1 - Monday, September 10, 1984",200,"There are about 40,000 muscles & tendons in this part of an elephant's body"
ACTORS & ROLES,sausage,"Show #1 - Monday, September 10, 1984",200,"A British variety is called ""bangers"", a Mexican variety, ""chorizo"""
NUMBER PLEASE,Dan Aykroyd & Eddie Murphy,"Show #1 - Monday, September 10, 1984",200,"2 ""Saturday Night"" alumni who tried ""Trading Places"""
INVENTIONS,the Volga River,"Show #1 - Monday, September 10, 1984",,River in 
ANIMALS,freezing,"Show #1 - Monday, September 10, 1984",300,A 1920's hunting trip to Canada inspired Birdseye's food preserving method
FOREIGN CUISINE,weasel,"Show #1 - Monday, September 10, 1984",300,"When husbands ""pop"" for an ermine coat, they're actually buying this fur"
ACTORS & ROLES,a blintz,"Show #1 - Monday, September 10, 1984",300,Jewish crepe filled with cheese
NUMBER PLEASE,Sean Connery,"Show #1 - Monday, September 10, 1984",300,"He may ""Never Say Never Again"" when asked to be Bond"
INVENTIONS,the Missouri,"Show #1 - Monday, September 10, 1984",400,American river only 33 miles shorter than the Mississippi
ANIMALS,the zipper,"Show #1 - Monday, September 10, 1984",400,This fastener gets its name from a brand of galoshes it was used on
FOREIGN CUISINE,the hippopotamus,"Show #1 - Monday, September 10, 1984",400,"Close relative of the pig, though its name means ""river horse"""
ACTORS & ROLES,Châteaubriand,"Show #1 - Monday, September 10, 1984",400,French for a toothsome cut of beef served to a twosome
NUMBER PLEASE,Marilyn Monroe,"Show #1 - Monday, September 10, 1984",400,"The blonde preferred in the film ""Gentlemen Prefer Blondes"""
INVENTIONS,the Caspian Sea,"Show #1 - Monday, September 10, 1984",500,"World's largest lake, nearly 5 times as big as Superior"
FOREIGN CUISINE,a mule,"Show #1 - Monday, September 10, 1984",500,"If this species of hybrid's parents were reversed, you'd get a hinny"
NUMBER PLEASE,Colonel Chuck Yeager,"Show #1 - Monday, September 10, 1984",500,"Sam Shepard played this barrier breaker in ""The Right Stuff"""
INVENTIONS,the walls,"Show #1 - Monday, September 10, 1984",200,"When ""Joshua Fit The Battle Of Jericho"", these took a tumble"
ANIMALS,private eyes (or private detectives),"Show #1 - Monday, September 10, 1984",200,"Occupation of Richard Diamond, Peter Gunn & Mike Hammer"
FOREIGN CUISINE,the Statue of Liberty,"Show #1 - Monday, September 10, 1984",200,She came from France to harbor America's freedom
NUMBER PLEASE,Nero,"Show #1 - Monday, September 10, 1984",200,"It was probably a lyre, not a fiddle, if he played it while Rome burned"
THE BIBLE,shot,"Show #1 - Monday, September 10, 1984",200,Pulled the trigger or what's in a jigger
INVENTIONS,Judas,"Show #1 - Monday, September 10, 1984",400,His price was 30 pieces of silver
ANIMALS,Eve Arden,"Show #1 - Monday, September 10, 1984",400,"She was ""Our Miss Brooks"""
FOREIGN CUISINE,Mount Vernon,"Show #1 - Monday, September 10, 1984",400,"When he was home, George Washington slept here"
NUMBER PLEASE,Adolf Hitler,"Show #1 - Monday, September 10, 1984",400,"His book, translated as ""My Struggle"", outlined plans to conquer Europe"
THE BIBLE,zone,"Show #1 - Monday, September 10, 1984",400,Basketball defense or Serling's twilight area
INVENTIONS,the forbidden fruit (or the fruit of the Tree of Knowledge),"Show #1 - Monday, September 10, 1984",600,"According to the Bible, it wasn't necessarily an apple"
ANIMALS,one million dollars,"Show #1 - Monday, September 10, 1984",600,Amount Michael Anthony gave out each week on behalf of John Beresford Tipton
FOREIGN CUISINE,Plymouth Rock,"Show #1 - Monday, September 10, 1984",600,"The cornerstone of Massachusetts, it bears the date 1620"
NUMBER PLEASE,Stalin,"Show #1 - Monday, September 10, 1984",600,"Lenin called him ruthless, and his purges proved he was"
THE BIBLE,jump,"Show #1 - Monday, September 10, 1984",600,"Little girls do it with a rope, Van Halen does it in a song"
INVENTIONS,Jerusalem,"Show #1 - Monday, September 10, 1984",800,"Though its name means ""city of peace"", it's seen over 30 wars, the last in 1967"
